"ID_LogUnit","AGB","MAP","RainSeas","BulkDens","AreaLogUnit"
"BSI045",307.824340575,2700.4,41.8,1.29,453.94867
"BSI046",311.48238755,2704,41.6,1.29,427.0522
"BSI047",321.6344416,2706.25,41.25,1.29,444.48601
"BSI048",325.5427401,2712.2,41.8,1.29,376.28407
"BSI049",308.868446871429,2717.5,41.5,1.29,827.55909
"CGA001",306.092499116667,2692.71428571429,41.1428571428571,1.29,636.74576
"CGA002",309.87842472,2690.6,41,1.29,525.24984
"CGA003",298.475207666667,2700.16666666667,41,1.29,401.02973
"CGA004",295.17832375,2707,41,1.29,424.00169
"CGA005",306.1735461,2715,41,1.29,270.38389
"CGA006",299.62939214,2727,41.6,1.29,463.23567
"CGA007",288.281006216667,2730,41.7142857142857,1.29,633.10293
"CGA008",300.57650995,2712.75,41,1.29,556.46297
"CGA009",318.0011905,2702.5,41,1.29,469.99527
"CGA010",282.420960272727,2687.4,40.3333333333333,1.29,1241.38567
"CGA011",308.5528623,2675.5,40,1.29,408.82672
"CGA012",315.17924212,2694.4,40.6,1.29,462.83828
"CGA013",291.828102528571,2667.28571428571,40,1.29,608.72537
"CGA014",298.651354,2700.2,41,1.29,304.56244
"CGA015",315.1874432,2691.25,41,1.29,429.38645
"CGA016",299.3624025,2687.42857142857,40.7142857142857,1.29,444.42676
"CGA017",305.1191849,2688.75,41,1.29,355.26079
"CGA018",284.364782,2680.16666666667,40.5,1.29,441.81674
"CGA019",300.838426,2674.33333333333,40,1.29,432.90556
"CGA020",318.955625433333,2669.66666666667,40,1.29,350.43358
"CGA021",327.61110465,2673.8,40,1.29,440.28091
"CGA022",308.851645428571,2661.42857142857,39.5714285714286,1.29,645.35444
"CGA023",306.033496888889,2661.3,39.6,1.29,849.06031
"CGA024",309.889288671429,2648.25,39.125,1.29,704.37615
"CGA025",309.783068216667,2657.71428571429,39.5714285714286,1.29,622.43121
"CGA026",303.20126685,2682.33333333333,40.1666666666667,1.29,429.71051
"CSA028",320.156272325,2779.66666666667,50.6666666666667,1.37,427.60833
"CTI001",236.9235257,2893.28571428571,45.8571428571429,1.29,569.36211
"CTI004",294.2364351,2876.14285714286,45.2857142857143,1.29,636.64771
"CTI005",322.993271,2850.4,45,1.29,379.74149
"CTI006",281.10039365,2867,45,1.29,318.28303
"CTI007",288.26452215,2862,45.5,1.29,677.55931
"CTI008",292.57151348,2848.2,45,1.29,492.77018
"CTI009",301.164499233333,2839,45,1.29,403.19481
"CTI010",293.5067867,2832.33333333333,45,1.29,263.69081
"CTI011",276.6783837,2828,45,1.29,260.99958
"CTI012",296.85858185,2815.8,44.2,1.29,442.17717
"CTI013",307.9521836,2825.83333333333,44.8333333333333,1.29,417.48129
"CTI014",297.29040502,2787.85714285714,44,1.29,502.62924
"CTI015",293.935561325,2786.4,43.8,1.29,412.51088
"CTI016",310.44745565,2805.33333333333,44,1.29,267.64306
"CTI017",290.2016972,2801.75,44,1.29,343.39754
"CTI018",299.1953922375,2784.9,43.1,1.29,865.34356
"CTI019",289.5898059,2799.8,43.8,1.29,500.23506
"CTI020",258.765191,2822.5,44.1666666666667,1.29,476.42316
"CTI024",295.611299428571,2777.5,42.875,1.29,640.58759
"CTI025",301.1759899,2771,42.8,1.29,406.58257
"CTI026",297.572484433333,2771.6,43,1.29,362.85676
"CTI027",307.935507714286,2761.66666666667,42.7777777777778,1.29,858.62409
"CTI028",302.48643754,2750.71428571429,42,1.29,539.67039
"CTI029",286.545041666667,2742,42,1.29,322.92313
"CTI030",300.544159075,2753.66666666667,42,1.29,403.71372
"CTI031",297.262445,2739,42,1.29,550.2169
"CTI033",292.3861193,2722.83333333333,41.1666666666667,1.29,465.2912
"CVE001",295.253629983333,2879.42857142857,47.4285714285714,1.29,669.20503
"CVE002",301.341345633333,2864,47.1666666666667,1.29,507.0515
"CVE003",299.87072555,2809.14285714286,46,1.29,429.15897
"CVE004",303.974635228571,2816.66666666667,45.5,1.29,523.00575
"CVE005",311.86330916,2827.6,45.8,1.29,515.04741
"CVE006",306.215281,2834.6,46,1.29,357.6796
"CVE007",290.4635775,2850,47,1.29,381.01792
"CVE008",287.43131902,2860.2,46.8,1.29,423.90515
"CVE009",303.183789385714,2843.42857142857,46,1.29,538.40583
"CVE010",303.10195328,2846.6,45.2,1.29,455.86106
"CVE011",302.470297,2851.5,46,1.29,271.5497
"CVE012",291.169993666667,2862,46,1.29,303.65188
"CVE013",282.204491566667,2859,46,1.29,284.53104
"CVE014",294.340713333333,2881,47,1.29,425.97643
"CVE015",283.7560383,2873.16666666667,46.5,1.29,451.16825
"CVE016",290.4847103,2881,46.2857142857143,1.29,573.60291
"CVE017",298.88453894,2830.5,45,1.29,434.62183
"CVE018",308.91704615,2824.66666666667,45,1.29,331.85735
"CVE019",310.865962928571,2806.125,44.625,1.29,673.84327
"CVE020",304.632593671429,2806.875,44.875,1.29,505.71633
"CVE021",298.032255866667,2786,44.1666666666667,1.29,555.49509
"CVE022",295.8406788,2796.66666666667,45,1.29,371.03343
"CVE023",304.64595025,2804.2,45,1.29,422.89159
"MCH001",310.539321883333,2865.125,48.625,1.29,602.18305
"MCH002",320.779044883333,2854,49.125,1.37,727.4138
"MCH003",314.57362015,2869.85714285714,49.2857142857143,1.37,521.16002
"MCH004",300.85588516,2882.57142857143,50,1.37,569.74007
